event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
1018739950,true,2014-11-14 11:04:56.000,-42.5606906,-8.7674544,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768361.0872067593,9029986.120869959,"23S","Brasilia Time",2014-11-14 08:04:56.000
1018739951,true,2014-11-14 12:00:28.000,-42.5613097,-8.7678286,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768292.6684929153,9029945.157339638,"23S","Brasilia Time",2014-11-14 09:00:28.000
1018739952,true,2014-11-14 13:00:14.000,-42.5614333,-8.7677933,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768279.0881010044,9029949.151681775,"23S","Brasilia Time",2014-11-14 10:00:14.000
1018739953,true,2014-11-14 14:00:14.000,-42.5619658,-8.7677753,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768220.4840381311,9029951.523893166,"23S","Brasilia Time",2014-11-14 11:00:14.000
1018739954,true,2014-11-14 15:00:08.000,-42.5620153,-8.7678128,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768215.0082056737,9029947.409807613,"23S","Brasilia Time",2014-11-14 12:00:08.000
1018739955,true,2014-11-14 16:00:48.000,-42.5623558,-8.7677467,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768177.5738329822,9029954.967143908,"23S","Brasilia Time",2014-11-14 13:00:48.000
1018739956,true,2014-11-14 17:00:14.000,-42.5623425,-8.7677978,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768179.0011895597,9029949.303328473,"23S","Brasilia Time",2014-11-14 14:00:14.000
1018739957,true,2014-11-14 18:00:13.000,-42.5625714,-8.7677917,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768153.8085335039,9029950.141805358,"23S","Brasilia Time",2014-11-14 15:00:13.000
1018739958,true,2014-11-14 19:00:33.000,-42.56238,-8.767735,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768174.9183265329,9029956.279058037,"23S","Brasilia Time",2014-11-14 16:00:33.000
1018739959,true,2014-11-14 20:00:24.000,-42.5623253,-8.7678314,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768180.8704186394,9029945.573136285,"23S","Brasilia Time",2014-11-14 17:00:24.000
1018739960,true,2014-11-14 21:00:13.000,-42.56238,-8.7678289,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768174.8509038435,9029945.888839435,"23S","Brasilia Time",2014-11-14 18:00:13.000
1018739961,true,2014-11-14 22:00:29.000,-42.5623767,-8.7676842,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768175.3180621276,9029961.897820158,"23S","Brasilia Time",2014-11-14 19:00:29.000
1018739962,true,2014-11-14 23:00:30.000,-42.5613947,-8.7643597,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768285.803084763,9030329.058891224,"23S","Brasilia Time",2014-11-14 20:00:30.000
1018739963,true,2014-11-15 00:00:18.000,-42.5583153,-8.7641981,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768624.8996571193,9030344.73920574,"23S","Brasilia Time",2014-11-14 21:00:18.000
1018739964,true,2014-11-15 01:00:13.000,-42.5556608,-8.7648394,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768916.6462032567,9030271.878193313,"23S","Brasilia Time",2014-11-14 22:00:13.000
1018739965,true,2014-11-15 02:01:30.000,-42.5556022,-8.7647303,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768923.1754316735,9030283.908417517,"23S","Brasilia Time",2014-11-14 23:01:30.000
1018739966,true,2014-11-15 03:00:14.000,-42.5555531,-8.7647444,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768928.5702223326,9030282.31305875,"23S","Brasilia Time",2014-11-15 00:00:14.000
1018739967,true,2014-11-15 04:00:30.000,-42.5555692,-8.7647864,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768926.7676992206,9030277.677183371,"23S","Brasilia Time",2014-11-15 01:00:30.000
1018739968,true,2014-11-15 05:00:13.000,-42.5555742,-8.7647108,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768926.2717142233,9030286.046091113,"23S","Brasilia Time",2014-11-15 02:00:13.000
1018739969,true,2014-11-15 06:00:30.000,-42.5550281,-8.7644,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",768986.61030414,9030320.045807963,"23S","Brasilia Time",2014-11-15 03:00:30.000
1018739970,true,2014-11-15 07:00:07.000,-42.5543689,-8.7642058,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769059.3151534105,9030341.062354298,"23S","Brasilia Time",2014-11-15 04:00:07.000
1018739971,true,2014-11-15 08:00:21.000,-42.5543303,-8.7642144,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769063.5580674026,9030340.08308972,"23S","Brasilia Time",2014-11-15 05:00:21.000
1018739972,true,2014-11-15 09:00:17.000,-42.5541808,-8.7646314,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769079.714788649,9030293.83385709,"23S","Brasilia Time",2014-11-15 06:00:17.000
1018739973,true,2014-11-15 10:00:29.000,-42.5542142,-8.7647161,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769075.977104322,9030284.485512916,"23S","Brasilia Time",2014-11-15 07:00:29.000
1018739974,true,2014-11-15 11:00:30.000,-42.5514439,-8.7626222,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769382.4425418875,9030514.195462974,"23S","Brasilia Time",2014-11-15 08:00:30.000
1018739975,true,2014-11-15 12:00:12.000,-42.5514572,-8.7626294,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769380.9732720992,9030513.408300422,"23S","Brasilia Time",2014-11-15 09:00:12.000
1018739976,true,2014-11-15 13:00:11.000,-42.5507908,-8.7639258,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769453.3965797666,9030369.479998203,"23S","Brasilia Time",2014-11-15 10:00:11.000
1018739977,true,2014-11-15 14:00:15.000,-42.5483786,-8.7648625,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769718.2576560279,9030264.099903192,"23S","Brasilia Time",2014-11-15 11:00:15.000
1018739978,true,2014-11-15 15:01:00.000,-42.5483381,-8.7640842,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769723.2777855573,9030350.192085683,"23S","Brasilia Time",2014-11-15 12:01:00.000
1018739979,true,2014-11-15 16:00:30.000,-42.5483086,-8.7641647,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769726.4670634086,9030341.263329754,"23S","Brasilia Time",2014-11-15 13:00:30.000
1018739980,true,2014-11-15 17:00:31.000,-42.548905,-8.7643014,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769660.7161222243,9030326.565319967,"23S","Brasilia Time",2014-11-15 14:00:31.000
1018739981,true,2014-11-15 18:00:48.000,-42.5483667,-8.7641236,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769720.1010274313,9030345.85289435,"23S","Brasilia Time",2014-11-15 15:00:48.000
1018739982,true,2014-11-15 20:01:01.000,-42.5482158,-8.7641914,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769736.6633035141,9030338.242246939,"23S","Brasilia Time",2014-11-15 17:01:01.000
1018739983,true,2014-11-15 21:00:30.000,-42.5483042,-8.7640997,"gps","Panthera onca","35956","Lampiao","Jaguar Conservation in the Caatinga Biome",769726.9983423571,9030348.452618238,"23S","Brasilia Time",2014-11-15 18:00:30.000
