name,latitude,longitude
juancho,-1.30316,-74.82887
juancho,-1.30332,-74.82955
juancho,-1.3032,-74.82955
juancho,-1.30318,-74.82958
juancho,-1.3032,-74.82956
juancho,-1.30324,-74.82951
juancho,-1.30321,-74.82955
juancho,-1.30354,-74.82942
juancho,-1.3032,-74.82954
juancho,-1.3032,-74.82954
juancho,-1.30321,-74.82955
juancho,-1.30323,-74.82956
juancho,-1.3032,-74.82955
juancho,,-74.82955
juancho,-1.30328,-74.82954
juancho,-1.30392,-74.82932
juancho,-1.30361,-74.82914
juancho,,-74.82948
juancho,-1.30312,-74.82947
juancho,-1.30322,-74.82951
juancho,-1.30325,-74.82941
juancho,-1.30318,-74.82951
juancho,-1.30417,-74.82926
juancho,-1.30393,-74.82914
juancho,-1.304,-74.82911
juancho,-1.3041,-74.82882
juancho,-1.30282,-74.82933
juancho,-1.30281,-74.82931
juancho,-1.30282,-74.82934
juancho,-1.30282,-74.82932
juancho,-1.30345,-74.82994
juancho,-1.30398,-74.82923
juancho,-1.30288,-74.82868
juancho,-1.30231,-74.82979
juancho,-1.3025,-74.82973
juancho,-1.30246,-74.82973
juancho,-1.30251,-74.82966
juancho,-1.30259,-74.82988
juancho,-1.30258,-74.82993
juancho,-1.30215,-74.82887
juancho,-1.30181,-74.82826
juancho,-1.30179,-74.82824
juancho,-1.30166,-74.82797
juancho,-1.30163,-74.82887
juancho,-1.30154,-74.82896
juancho,-1.30276,-74.82919
juancho,-1.30276,-74.82923
juancho,-1.30315,-74.82863
juancho,-1.30152,-74.82872
juancho,-1.30152,-78.82872
juancho,-1.30259,-74.8299
juancho,,-74.8299
juancho,-1.30265,-74.82991
juancho,-1.3026,-74.82968
juancho,-1.30278,-74.82932
juancho,-1.30285,-74.82926
juancho,-1.30287,-74.8293
juancho,-1.30211,-74.82897
juancho,-1.3025,-74.82979
juancho,-1.30228,-74.82926
juancho,-1.30267,-74.82928
juancho,-1.30269,-74.82915
juancho,-1.30152,-74.82736
juancho,-1.30034,-74.82592
juancho,-1.30041,-74.82591
juancho,-1.3003,-74.82582
juancho,-1.30028,-74.8263
juancho,-1.30027,-74.82629
juancho,-1.29981,-74.82707
juancho,-1.29918,-74.82758
juancho,-1.2985,-74.8279
juancho,-1.2985,-74.8277
juancho,-1.2985,-78.8279
juancho,-1.29755,-74.82745
juancho,-1.29752,-74.82747
juancho,-1.29755,-74.82746
juancho,-1.29689,-74.82717
juancho,-1.29743,-74.82714
juancho,-1.29741,-74.82713
juancho,-1.29739,-74.82756
juancho,-1.29741,-74.82754
juancho,-1.29729,-74.82778
juancho,-1.29756,-74.82742
juancho,-1.29755,-74.82742
juancho,-1.29813,-74.82734
juancho,-1.29738,-74.82717
juancho,-1.29727,-74.82714
juancho,-1.29726,-74.8271
juancho,-1.29738,-74.82719
juancho,-1.29726,-74.8271
juancho,-1.29753,-74.82748
juancho,-1.29753,-74.82742
juancho,-1.29554,-74.82957
juancho,-1.29559,-74.82745
juancho,-1.29641,-74.82794
juancho,-1.29604,-74.82717
juancho,-1.29737,-74.82765
juancho,-1.29768,-74.82794
juancho,-1.29769,-74.82795
juancho,-1.29771,-74.82786
juancho,-1.30053,-74.8253
juancho,-1.30057,-74.82569
juancho,-1.30001,-74.82646
juancho,-1.30169,-74.82911
juancho,-1.30076,-74.8283
juancho,-1.30037,-74.82823
juancho,-1.30151,-74.82882
juancho,-1.30102,-74.82491
juancho,-1.30173,-74.82498
juancho,-1.30175,-74.82497
juancho,-1.30036,-74.82411
juancho,-1.30055,-74.82445
juancho,-1.3006,-74.82385
juancho,-1.3007,-74.82379
juancho,-1.29947,-74.82156
juancho,-1.29884,-74.82103
juancho,-1.29883,-74.8211
juancho,-1.29886,-74.8211
