event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,external-temperature,gps:dop,gps:fix-type-raw,height-raw,manually-marked-outlier,mortality-status,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
15727039127,true,2020-04-11 10:00:38.000,-78.4353199,-0.5528907,,7.0,1.0,"val. GPS-3D","3673,16",,"normal","gps","Lycalopex culpaeus","34811","Mascha","Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785467.4553556375,9938827.263009025,"17S","Ecuador Time",2020-04-11 05:00:38.000
15727039128,true,2020-04-11 12:00:08.000,-78.4354007,-0.5528912,,8.0,1.2,"val. GPS-3D","3667,24",,"Mortality no radius","gps","Lycalopex culpaeus","34811","Mascha","Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785458.455657136,9938827.21157806,"17S","Ecuador Time",2020-04-11 07:00:08.000
15727039129,true,2020-04-11 14:00:12.000,-78.4351672,-0.5526224,,12.0,1.4,"val. GPS-3D","3639,61",,"Mortality no radius","gps","Lycalopex culpaeus","34811","Mascha","Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785484.4762341084,9938856.940829292,"17S","Ecuador Time",2020-04-11 09:00:12.000
15727039130,true,2020-04-11 16:00:16.000,-78.4352196,-0.5529952,,12.0,1.2,"val. GPS-3D","3718,43",,"Mortality no radius","gps","Lycalopex culpaeus","34811","Mascha","Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785478.6219840348,9938815.696121544,"17S","Ecuador Time",2020-04-11 11:00:16.000
15727039131,true,2020-04-11 18:00:16.000,-78.4353639,-0.5526958,,18.0,1.0,"val. GPS-3D","3627,04",,"Mortality no radius","gps",,"34811",,"Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785462.5638615403,9938848.829194043,"17S","Ecuador Time",2020-04-11 13:00:16.000
15727039132,true,2020-04-11 20:00:13.000,-78.4354195,-0.5529789,,17.0,1.2,"val. GPS-3D","3697,53",,"Mortality no radius","gps",,"34811",,"Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785456.3574792929,9938817.509206707,"17S","Ecuador Time",2020-04-11 15:00:13.000
15727039133,true,2020-04-11 22:00:38.000,-78.4353479,-0.5528911,,9.0,1.0,"val. GPS-3D","3668,44",,"Mortality no radius","gps",,"34811",,"Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785464.3366373279,9938827.22010034,"17S","Ecuador Time",2020-04-11 17:00:38.000
15727039134,true,2020-04-11 23:36:32.000,-78.4353659,-0.5528541,,8.0,1.8,"val. GPS-3D","3678,20",,"Mortality no radius","gps",,"34811",,"Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785462.3335286763,9938831.314709682,"17S","Ecuador Time",2020-04-11 18:36:32.000
15727039135,true,2020-04-12 00:06:32.000,-78.4353307,-0.552854,,9.0,1.8,"val. GPS-3D","3679,00",,"Mortality no radius","gps",,"34811",,"Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785466.2541838345,9938831.324079355,"17S","Ecuador Time",2020-04-11 19:06:32.000
15727039136,true,2020-04-12 00:36:34.000,-78.4353307,-0.5528902,,8.0,1.0,"val. GPS-3D","3679,04",,"Mortality no radius","gps",,"34811",,"Andean Fox, Lycalopex culpaeus Castellanos Ecuador",785466.2524527132,9938827.318849817,"17S","Ecuador Time",2020-04-11 19:36:34.000
