event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,external-temperature,gps:dop,gps:fix-type-raw,height-raw,manually-marked-outlier,mortality-status,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
15727036978,true,2019-10-15 08:00:23.000,-78.4295519,-0.5660026,,9.0,1.0,"val. GPS-3D","3610,59",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",786109.2729375744,9937376.255471837,"17S","Ecuador Time",2019-10-15 03:00:23.000
15727036979,true,2019-10-15 10:00:27.000,-78.4323315,-0.571152,,9.0,1.2,"val. GPS-3D","3642,69",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785799.4212920517,9936806.652957948,"17S","Ecuador Time",2019-10-15 05:00:27.000
15727036980,true,2019-10-15 12:00:25.000,-78.4312662,-0.5709777,,11.0,1.0,"val. GPS-3D","3770,91",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785918.0852410961,9936825.884815637,"17S","Ecuador Time",2019-10-15 07:00:25.000
15727036981,true,2019-10-15 14:00:30.000,-78.4315475,-0.5708598,,22.0,1.2,"val. GPS-3D","3674,54",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785886.7592831571,9936838.943518538,"17S","Ecuador Time",2019-10-15 09:00:30.000
15727036982,true,2019-10-15 16:00:10.000,-78.4314983,-0.5708776,,25.0,1.4,"val. GPS-3D","3677,72",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785892.2384025408,9936836.971641004,"17S","Ecuador Time",2019-10-15 11:00:10.000
15727036983,true,2019-10-15 18:00:25.000,-78.4315507,-0.5708244,,28.0,1.4,"val. GPS-3D","3666,26",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785886.4046108949,9936842.860405866,"17S","Ecuador Time",2019-10-15 13:00:25.000
15727036984,true,2019-10-15 20:00:38.000,-78.4315999,-0.5708428,,24.0,1.2,"val. GPS-3D","3663,12",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785880.9237016464,9936840.827041537,"17S","Ecuador Time",2019-10-15 15:00:38.000
15727036985,true,2019-10-15 22:00:12.000,-78.4316035,-0.5707161,,19.0,1.2,"val. GPS-3D","3664,94",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785880.5289903765,9936854.845565954,"17S","Ecuador Time",2019-10-15 17:00:12.000
15727036986,true,2019-10-16 00:00:19.000,-78.4320448,-0.5536032,,9.0,1.6,"val. GPS-3D","3587,30",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785832.2092506103,9938748.272820024,"17S","Ecuador Time",2019-10-15 19:00:19.000
15727036987,true,2019-10-16 02:00:12.000,-78.435721,-0.538955,,13.0,1.2,"val. GPS-3D","3647,29",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785423.4379393333,9940369.151353257,"17S","Ecuador Time",2019-10-15 21:00:12.000
