event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,external-temperature,gps:dop,gps:fix-type-raw,height-raw,manually-marked-outlier,mortality-status,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
15727038188,true,2020-01-24 04:00:13.000,-78.4370824,-0.542013,,10.0,1.4,"val. GPS-3D","3613,33",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785271.6592446829,9940030.873375133,"17S","Ecuador Time",2020-01-23 23:00:13.000
15727038189,true,2020-01-24 06:00:16.000,-78.4354851,-0.5404732,,9.0,1.2,"val. GPS-3D","3650,17",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785449.6421653047,9940201.164081257,"17S","Ecuador Time",2020-01-24 01:00:16.000
15727038190,true,2020-01-24 08:00:21.000,-78.4410835,-0.5573947,,8.0,1.2,"val. GPS-3D","3642,61",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784825.279069801,9938329.212206202,"17S","Ecuador Time",2020-01-24 03:00:21.000
15727038191,true,2020-01-24 10:00:37.000,-78.4400527,-0.5535602,,14.0,1.0,"val. GPS-3D","3666,06",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784940.2750863321,9938753.41630549,"17S","Ecuador Time",2020-01-24 05:00:37.000
15727038192,true,2020-01-24 12:00:23.000,-78.4452657,-0.5553295,,10.0,1.4,"val. GPS-3D","3692,13",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784359.5590149788,9938557.910023574,"17S","Ecuador Time",2020-01-24 07:00:23.000
15727038193,true,2020-01-24 14:00:13.000,-78.440459,-0.5526175,,16.0,1.0,"val. GPS-3D","3696,63",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784895.0657218697,9938857.737361917,"17S","Ecuador Time",2020-01-24 09:00:13.000
15727038194,true,2020-01-24 16:02:01.000,-78.4413686,-0.5450852,,22.0,1.0,"val. GPS-3D","3625,06",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784794.1097293018,9939691.163547779,"17S","Ecuador Time",2020-01-24 11:02:01.000
15727038195,true,2020-01-24 18:00:19.000,-78.4409304,-0.5417625,,21.0,1.4,"val. GPS-3D","3582,56",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784843.0730493623,9940058.77034573,"17S","Ecuador Time",2020-01-24 13:00:19.000
15727038196,true,2020-01-24 20:00:38.000,-78.4409096,-0.5417799,,18.0,1.0,"val. GPS-3D","3591,21",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784845.3889778389,9940056.844209583,"17S","Ecuador Time",2020-01-24 15:00:38.000
15727038198,true,2020-01-25 00:00:12.000,-78.438455,-0.5394841,,13.0,1.0,"val. GPS-3D","3589,62",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785118.894310002,9940310.739192484,"17S","Ecuador Time",2020-01-24 19:00:12.000
15727038199,true,2020-01-25 02:00:38.000,-78.4359516,-0.5408567,,15.0,1.0,"val. GPS-3D","3605,23",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",785397.6643877861,9940158.754962329,"17S","Ecuador Time",2020-01-24 21:00:38.000
15727038200,true,2020-01-25 04:00:11.000,-78.4395206,-0.5470356,,9.0,1.0,"val. GPS-3D","3648,80",,"normal","gps","Lycalopex culpaeus","34811","Mashca","Home range and movement patterns of the Andean Fox in Cotopaxi National Park Ecuador",784999.851346152,9939475.281154748,"17S","Ecuador Time",2020-01-24 23:00:11.000
